Страна,1,2,3,4,5,6,7,Лого
3,,Оснабрюк,,Оснабрюк,Оснабрюк,Оснабрюк,Оснабрюк,http://
3,,Арминия Билефельд,,Арминия Билефельд,Арминия Билефельд,Арминия,Арминия,http://
3,,Зандхаузен,,Зандхаузен,Зандхаузен,Зандхаузен,Зандхаузен,http://
3,,Гамбург,,Гамбург,Гамбург,Гамбург,Гамбург,http://
3,,Динамо Дрезден,,Динамо Дрезден,Динамо Дрезден,Динамо Дрезден,Динамо Дрезден,http://
3,,Вехен,,Веен Висбаден,Вейен Висбаден,Веен Висбаден,Вехен,http://
3,,Хольштайн Киль,,Хольштайн Киль,Хольштайн Киль,Хольштайн Киль,,http://
3,,Регенсбург,,Ян Регенсбург,Регенсбург,Ян Регенсбург,Ян Регенсбург,http://
3,,Хайденхайм,,Хайденхайм,Хайденхайм,Хайденхайм,Хайденхайм 1846,http://
3,,Гройтер Фюрт,,Гройтер Фюрт,Гройтер Фюрт,Гройтер Фюрт,Грёйтер Фюрт,http://
3,,Нюрнберг,,Нюрнберг,Нюрнберг,Нюрнберг,Нюрнберг,http://
3,,Штутгарт,,Штутгарт,Штутгарт,Штутгарт,Штутгарт,http://
3,,Карлсруэ,,Карлсруэ,Карлсруэ,Карлсруэ,Карлсруэ,http://
3,,Ганновер 96,,Ганновер 96,Гановер,Ганновер,Ганновер-96,http://
3,,Дармштадт,,Дармштадт 98,Дармштадт,Дармштадт,Дармштадт-98,http://
4,Леванте,Леванте,Леванте,Леванте,Леванте,Леванте,Леванте,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2036.png
4,Мальорка,Мальорка,Реал Мальорка,Мальорка,Мальорка,Мальорка,Мальорка,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/16782.png
4,Барселона,Барселона,Барселона,Барселона,Барселона,Барселона,Барселона,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/4324.png
4,Леганес,Леганес,Леганес,Леганес,Леганес,Леганес,Леганес,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2053.png
4,Бетис,Бетис,Бетис,Бетис,Бетис,Бетис,Реал Бетис,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2025.png
4,Валенсия,Валенсия,Валенсия,Валенсия,Валенсия,Валенсия,Валенсия,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Valencia_Cf_Logo_original.png
4,Гранада,Гранада,Гранада,Гранада,Гранада,Гранада,Гранада,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/7072.png
4,Атлетико М.,Атлетико Мадрид,Атлетико Мадрид,Атлетико Мадрид,Атлетико Мадрид,Атлетико М,Атлетико Мадрид,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/212px-Atletico_Madrid_logo.svg.png
4,Реал Мадрид,Реал Мадрид,Реал Мадрид,Реал Мадрид,Реал Мадрид,Реал М,Реал Мадрид,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2016.png
4,Реал Сосьедад,Реал Сосьедад,Реал Сосьедад,Реал Сосьедад,Реал Сосьедад,Реал Сосьедад,Реал Сосьедад,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2028.png
4,Эйбар,Эйбар,Эйбар,Эйбар,Эйбар,Эйбар,Эйбар,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9474.png
4,Алавес,Алавес,Алавес,Алавес,Алавес,Алавес,Алавес,
4,Эспаньол,Эспаньол,Эспаньол,Эспаньол,Эспаньол,Эспаньол,Эспаньол,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Espanyol.png
4,Хетафе,Хетафе,Хетафе,Хетафе,Хетафе,Хетафе,Хетафе,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Spain/Getafe_300_300.png
4,Осасуна,Осасуна,Осасуна,Осасуна,Осасуна,Осасуна,Осасуна,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/14167.png
4,Атлетик Б.,Атлетик Бильбао,Атлетик Бильбао,Атлетик Бильбао,Атлетик Бильбао,Атлетик Бильбао,Атлетик Бильбао,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/12729.png
4,Вальядолид,Вальядолид,Реал Вальядолид,Вальядолид,Вальядолид,Вальядолид,Вальядолид,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Real_Valladolid_logo.png
4,Севилья,Севилья,Севилья,Севилья,Севилья,Севилья,Севилья,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9708.png
4,Вильярреал,Вильярреал,Вильярреал,Вильярреал,Вильярреал,Вильярреал,Вильярреал,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2023.png
4,Сельта,Сельта,Сельта,Сельта,Сельта,Сельта,Сельта,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Celta_Vigo.svg.png
4,Фуенлабрада,Фуэнлабрада,ФК Фуенлабрада,Фуэнлабрада,Фуэнлабрада,Фуенлабрада,Фуенлабрада,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2087.png
4,Уэска,Уэска,Уэска,Уэска,Уэска,Уэска,Уэска,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/3003.png
4,Эстремадура,Эстремадура,Эстремадура,Эстремадура,Эстремадура,Эстремадура,Эстремадура,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/14922.png
4,Депортиво Ла-Корунья,Депортиво Ла-Корунья,Депортиво,Депортиво Ла-Корунья,Депортиво Ла-Корунья,Депортиво,Депортиво Ла-Корунья,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1471.png
4,Эльче,Эльче,Эльче ФК,Эльче,Эльче,Эльче,Эльче,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2043.png
4,Альмерия,Альмерия,Альмерия,Альмерия,Альмерия,Альмерия,Альмерия,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/78.png
4,Нумансия,Нумансия,Нумансия,Нумансия,Нумансия,Нумансия,Нумансия,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9912.png
4,Райо Вальекано,Райо Вальекано,Райо Вальекано,Райо Вальекано,Райо Вальекано,Райо Вальекано,Райо Вальекано,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9895.png
4,Сарагоса,Сарагоса,Реал Сарагоса,Сарагоса,Сарагоса,Реал Сарагоса,Реал Сарагоса,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5240.png
4,Альбасете,Альбасете,Альбасете,Альбасете,Альбасете,Альбасете,Альбасете,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/11823.png
4,Понферрадина,Понферрадина,Понферрадина,Понферрадина,Понферрадина,Понферрадина,Понферрадина,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2084.png
4,Жирона,Жирона,Жирона,Жирона,Жирона,Жирона,Жирона,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/12757.png
4,Алькоркон,Алькоркон,Алькоркон,Алькоркон,Алькоркон,Алькоркон,Алькоркон,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2085.png
4,Малага,Малага,Малага,Малага,Малага,Малага,Малага,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2085.png
4,Реал Овьедо,Овьедо,Реал Овьедо,Реал Овьедо,Реал Овьедо,Реал Овьедо,Реал Овьедо,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/653.png
4,Спортинг Хихон,Спортинг Хихон,Спортинг Хихон,Спортинг Хихон,Спортинг Хихон,Спортинг Хихон,Реал Спортинг,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/8135.png
4,Луго,Луго,Луго,Луго,Луго,Луго,Луго,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/7073.png
4,Расинг Сантандер,Расинг Сантандер,Расинг Сантандер,Расинг Сантандер,Расинг Сантандер,Расинг Сантандер,Расинг Сантандер,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/925.png
4,Мирандес,Мирандес,Мирандес,Мирандес,Мирандес,Мирандес,Мирандес,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9670.png
4,Лас-Пальмас,Лас-Пальмас,Лас-Пальмас,Лас-Пальмас,Лас-Пальмас,Лас-Пальмас,Лас-Пальмас,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/3727.png
5,Аталанта,Аталанта,Аталанта,Аталанта,Аталанта,Аталанта,Аталанта,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Italy/Atalanta_300_300.png
5,Ювентус,Ювентус,Ювентус,Ювентус,Ювентус,Ювентус,Ювентус,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/800px-Juventus_FC_2017_logo.svg.png
5,Милан,Милан,Милан,Милан,Милан,Милан,Милан,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1240.png
5,Наполи,Наполи,Наполи,Наполи,Наполи,Наполи,Наполи,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1270.png
5,Торино,Торино,Торино,Торино,Торино,Торино,Торино,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Torino_FC_Logo.svg.png
5,Интер М,Интер Милан,Интер,Интер,Интер Милан,Интер М,Интер,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Italy/inter.png
5,Болонья,Болонья,Болонья,Болонья,Болонья,Болонья,Болонья,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1249.png
5,Парма,Парма,Парма,Парма,Парма,Парма,Парма,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/19886.png
5,Рома,Рома,Рома,Рома,Рома,Рома,Рома,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/AS_Roma.png
5,Брешиа,Брешиа,Брешиа,Брешиа,Брешиа,Брешиа,Брешиа,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9562.png
5,Сассуоло,Сассуоло,Сассуоло,Сассуоло,Сассуоло,Сассуоло,Сассуоло,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/4497.png
5,Лацио,Лацио,Лацио,Лацио,Лацио,Лацио,Лацио,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1245.png
5,Верона,Верона,Верона,Верона,Хеллас Верона,Верона,Верона,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/417.png
5,Фиорентина,Фиорентина,Фиорентина,Фиорентина,Фиорентина,Фиорентина,Фиорентина,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/7125.png
5,Сампдория,Сампдория,Сампдория,Сампдория,Сампдория,Сампдория,Сампдория,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1247.png
5,Удинезе,Удинезе,Удинезе,Удинезе,Удинезе,Удинезе,Удинезе,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Udineze.png
5,Лечче,Лечче,Лечче,Лечче,Лечче,Лечче,Лечче,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1251.png
5,Кальяри,Кальяри,Кальяри,Кальяри,Кальяри,Кальяри,Кальяри,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1256.png
5,СПАЛ 2013,СПАЛ Феррара,СПАЛ,СПАЛ,СПАЛ,Спал,СПАЛ,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-SPAL.png
5,Дженоа,Дженоа,Дженоа,Дженоа,Дженоа,Дженоа,Дженоа,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1276.png
5,,Пескара,,Пескара,Пескара,Пескара,Пескара,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/19916.png
5,,Кремонезе,,Кремонезе,Кремонезе,Кремонезе,Кремонезе,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2340.png
5,,Асколи,,Асколи,Асколи,Асколи,Кремонезе,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/19905.png
5,,Козенца,,Козенца,Козенца,Козенца,Косенза,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5677.png
5,,Беневенто,,Беневенто,Беневенто,Беневенто,Беневенто,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1302.png
5,,Кротоне,,Кротоне,Кротоне,Кротоне,Кротоне,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1280.png
5,,Кьево,,Кьево,Кьево,Кьево Верона,Кьево,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1248.png
5,,Виртус Энтелла,,Виртус Энтелла,Виртус Энтелла,Виртус Энтелла,Виртус Энтелла,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/12109.png
